size,lambda, precision, recall, F1, std_precision, std_recall, std_F1
50,2,0.82439,0.59748,0.68949,0.07177,0.09744,0.08345
100,2,0.93941,0.77289,0.84628,0.05323,0.08321,0.06591
200,2,0.97181,0.90352,0.93567,0.02729,0.05101,0.03330
500,2,0.98982,0.97703,0.98329,0.01799,0.02563,0.02014
1000,2,0.99727,0.99110,0.99410,0.00824,0.01731,0.01068
2000,2,0.99608,0.99585,0.99593,0.01003,0.01060,0.00870
5000,2,0.99801,0.99700,0.99750,0.00745,0.00900,0.00781
10000,2,0.99801,0.99700,0.99750,0.00745,0.00900,0.00781
20000,2,0.99801,0.99801,0.99801,0.00745,0.00745,0.00745
50000,2,0.99902,0.99902,0.99902,0.00528,0.00528,0.00528
