size,lambda, precision, recall, F1, std_precision, std_recall, std_F1
50,2,0.97060,0.29592,0.44765,0.05127,0.08043,0.09795
100,2,0.96215,0.50130,0.65556,0.04726,0.08195,0.07549
200,2,0.96520,0.69383,0.80470,0.03944,0.07219,0.05141
500,2,0.94054,0.87173,0.90420,0.05627,0.06877,0.05929
1000,2,0.90431,0.92841,0.91506,0.09790,0.05904,0.07654
2000,2,0.86313,0.94359,0.89826,0.12414,0.04840,0.08550
5000,2,0.84328,0.96585,0.89310,0.16506,0.03726,0.11154
10000,2,0.84427,0.97596,0.89532,0.17724,0.03112,0.11881
20000,2,0.85746,0.98553,0.90632,0.17452,0.01631,0.11541
50000,2,0.85471,0.98706,0.90180,0.19986,0.01519,0.13737
100000,2,0.85696,0.99091,0.90413,0.20586,0.01310,0.14205
200000,2,0.85531,0.99380,0.90274,0.21495,0.01146,0.14900
