size,alpha, precision, recall, F1, std_precision, std_recall, std_F1
50,0.001,1.00000,0.19974,0.32900,0.00000,0.05923,0.08068
100,0.001,0.99556,0.40235,0.57059,0.01663,0.05906,0.05929
200,0.001,0.99841,0.58239,0.73073,0.00855,0.10115,0.07769
500,0.001,0.99357,0.76255,0.85865,0.01440,0.10964,0.07268
1000,0.001,0.99128,0.83685,0.90560,0.01988,0.08469,0.05483
2000,0.001,0.98751,0.86955,0.92318,0.02307,0.07964,0.05123
5000,0.001,0.97887,0.90115,0.93740,0.03104,0.07158,0.04920
10000,0.001,0.97181,0.90850,0.93808,0.04023,0.07442,0.05410
20000,0.001,0.97165,0.92010,0.94442,0.04150,0.06568,0.04976
50000,0.001,0.96826,0.92719,0.94665,0.04391,0.06257,0.04946
100000,0.001,0.96513,0.93521,0.94953,0.04598,0.05824,0.04934
200000,0.001,0.96541,0.94099,0.95278,0.04849,0.05176,0.04773
