seqnum,true_score,astar_score,ges_score
9100,-82284.546875,-82284.546875,-81752.953125
9101,-99203.015625,-99203.015625,-99203.015625
9102,-104885.992188,-104886.000000,-102804.281250
9103,-90213.281250,-90213.281250,-90144.921875
9104,-149799.437500,-149799.437500,-147807.171875
9105,-112425.023438,-112427.546875,-109333.929688
9106,-108305.992188,-108305.992188,-106960.609375
9107,-84573.523438,-84573.523438,-84259.359375
9108,-112709.507812,-112709.507812,-112709.507812
9109,-76387.570312,-76387.570312,-76387.570312
9110,-100291.640625,-100308.843750,-100255.460938
9111,-92142.359375,-92142.351562,-91883.718750
9112,-93343.304688,-93343.304688,-93343.304688
9113,-79502.960938,-79502.960938,-79408.875000
9114,-73083.335938,-73083.335938,-73083.335938
9115,-75204.101562,-75204.101562,-75093.609375
9116,-114544.679688,-114544.679688,-114017.046875
9117,-104155.257812,-104155.265625,-103446.875000
9118,-49077.011719,-49077.007812,-49077.011719
9119,-77510.000000,-77510.000000,-75836.500000
9120,-77903.320312,-77903.320312,-77903.320312
9121,-65044.843750,-65044.839844,-64688.675781
9122,-80973.015625,-80973.015625,-80367.085938
9123,-98057.710938,-98057.710938,-97880.968750
9124,-77393.921875,-77393.929688,-74723.421875
9125,-102217.445312,-102217.445312,-100373.375000
9126,-73446.046875,-73446.046875,-73124.796875
9127,-92507.296875,-92507.296875,-92507.296875
9128,-94928.843750,-94928.843750,-92745.898438
9129,-84052.375000,-84052.375000,-83949.671875
